id;host_id;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
29545997;74481918;Penha;-22.83909;-43.27179;Entire home/apt;95;3;28;16/03/2021;0.96;1;239
29546130;4255118;Copacabana;-22.98186;-43.19055;Entire home/apt;1900;3;3;05/02/2019;0.1;46;179
29558459;195861449;Andaraí;-22.92404;-43.24381;Private room;90;30;0;;;2;365
29560667;196350315;Botafogo;-22.95015;-43.19093;Entire home/apt;110;2;0;;;1;3
29561200;11551739;Copacabana;-22.9711;-43.18862;Entire home/apt;1990;4;0;;;23;24
29562906;95243041;Tijuca;-22.92161;-43.22213;Entire home/apt;180;1;27;12/01/2021;1;1;365
29563377;222575724;Centro;-22.91543;-43.18928;Entire home/apt;150;1;10;09/01/2021;0.34;1;82
29564181;30717384;Barra da Tijuca;-23.00518;-43.34887;Entire home/apt;350;3;1;26/02/2020;0.08;6;241
29568816;222613460;Leme;-22.96395;-43.17068;Entire home/apt;150;4;0;;;1;82
29569555;120966678;Copacabana;-22.97015;-43.18387;Entire home/apt;1250;3;2;02/01/2019;0.07;2;365
29570067;222535930;Leme;-22.96456;-43.17251;Entire home/apt;550;3;3;06/10/2019;0.13;1;180
29570170;26959477;Barra da Tijuca;-23.01144;-43.38354;Entire home/apt;1200;1;0;;;10;363
29570464;12174154;Leme;-22.96272;-43.17006;Private room;80;1;10;17/06/2019;0.36;1;359
29584328;222701752;Copacabana;-22.97516;-43.194;Entire home/apt;205;3;89;21/03/2021;3.14;2;263
29588547;89136330;Ipanema;-22.98385;-43.19761;Entire home/apt;1000;5;0;;;1;178
29588738;12541132;Copacabana;-22.96878;-43.18263;Entire home/apt;140;2;3;13/02/2019;0.1;1;168
29591328;26915209;Copacabana;-22.98348;-43.19266;Private room;114;3;67;19/03/2021;2.34;1;78
29594148;113035612;Centro;-22.91259;-43.18151;Entire home/apt;123;2;55;19/03/2021;2;3;0
29605981;15131800;Leblon;-22.98008;-43.22202;Private room;70;2;15;14/02/2021;0.53;4;161
29607164;139744801;Ipanema;-22.98064;-43.19858;Private room;100;1;24;07/01/2020;0.84;3;52
29607773;91654021;Ipanema;-22.98287;-43.20779;Entire home/apt;259;3;0;;;198;90
29607983;167472593;Jacarepaguá;-22.97456;-43.41375;Private room;160;4;0;;;26;0
29610487;45032018;Ipanema;-22.98388;-43.19498;Entire home/apt;220;2;51;07/03/2021;1.81;1;140
29610691;91654021;Ipanema;-22.98491;-43.20326;Entire home/apt;998;2;0;;;198;89
29612964;91654021;Ipanema;-22.98399;-43.21132;Entire home/apt;476;3;0;;;198;180
29613759;91654021;Ipanema;-22.98497;-43.20956;Entire home/apt;750;2;0;;;198;180
29623611;91654021;Ipanema;-22.98424;-43.20181;Entire home/apt;909;2;1;18/01/2019;0.04;198;90
29630115;176483425;Barra da Tijuca;-22.99096;-43.35166;Entire home/apt;369;2;75;11/03/2021;2.73;1;158
29631949;14653807;Copacabana;-22.97452;-43.18849;Entire home/apt;250;2;29;06/01/2021;1.11;1;358
29634517;14481352;Copacabana;-22.98352;-43.19374;Entire home/apt;137;2;36;02/11/2020;1.28;1;180
29646818;25067261;Copacabana;-22.98531;-43.19066;Entire home/apt;313;3;13;31/01/2021;0.49;16;38
29647000;222911982;Jacarepaguá;-22.96944;-43.39092;Entire home/apt;185;2;19;12/12/2020;0.66;1;363
29648591;25067261;Copacabana;-22.98383;-43.19097;Entire home/apt;323;3;13;22/01/2020;0.49;16;37
29650500;25067261;Leblon;-22.98037;-43.21921;Entire home/apt;424;2;10;28/02/2021;0.35;16;40
